wavelength,y_bar
3.9e-07,0.0004146161
3.91e-07,0.0005028333
3.92e-07,0.0006084991
3.93e-07,0.0007344436
3.94e-07,0.0008837389
3.95e-07,0.001059646
3.96e-07,0.001265532
3.97e-07,0.001504753
3.98e-07,0.001780493
3.99e-07,0.002095572
4e-07,0.002452194
4.01e-07,0.002852216
4.02e-07,0.003299115
4.03e-07,0.003797466
4.04e-07,0.004352768
4.05e-07,0.004971717
4.06e-07,0.005661014
4.07e-07,0.006421615
4.08e-07,0.007250312
4.09e-07,0.008140173
4.1e-07,0.00907986
4.11e-07,0.01005608
4.12e-07,0.01106456
4.13e-07,0.01210522
4.14e-07,0.01318014
4.15e-07,0.01429377
4.16e-07,0.01545004
4.17e-07,0.01664093
4.18e-07,0.01785302
4.19e-07,0.01907018
4.2e-07,0.02027369
4.21e-07,0.02144805
4.22e-07,0.02260041
4.23e-07,0.02374789
4.24e-07,0.02491247
4.25e-07,0.02612106
4.26e-07,0.02739923
4.27e-07,0.02874993
4.28e-07,0.03016909
4.29e-07,0.03165145
4.3e-07,0.03319038
4.31e-07,0.03477912
4.32e-07,0.03641495
4.33e-07,0.03809569
4.34e-07,0.03981843
4.35e-07,0.0415794
4.36e-07,0.04337098
4.37e-07,0.0451718
4.38e-07,0.0469542
4.39e-07,0.04868718
4.4e-07,0.05033657
4.41e-07,0.05187611
4.42e-07,0.05332218
4.43e-07,0.05470603
4.44e-07,0.05606335
4.45e-07,0.05743393
4.46e-07,0.05885107
4.47e-07,0.06030809
4.48e-07,0.06178644
4.49e-07,0.0632657
4.5e-07,0.06472352
4.51e-07,0.06614749
4.52e-07,0.06757256
4.53e-07,0.06904928
4.54e-07,0.0706328
4.55e-07,0.07238339
4.56e-07,0.0743596
4.57e-07,0.07659383
4.58e-07,0.07911436
4.59e-07,0.08195345
4.6e-07,0.08514816
4.61e-07,0.08872657
4.62e-07,0.09266008
4.63e-07,0.09689723
4.64e-07,0.1013746
4.65e-07,0.1060145
4.66e-07,0.1107377
4.67e-07,0.1155111
4.68e-07,0.1203122
4.69e-07,0.1251161
4.7e-07,0.1298957
4.71e-07,0.1346299
4.72e-07,0.1393309
4.73e-07,0.1440235
4.74e-07,0.1487372
4.75e-07,0.1535066
4.76e-07,0.1583644
4.77e-07,0.1633199
4.78e-07,0.1683761
4.79e-07,0.1735365
4.8e-07,0.1788048
4.81e-07,0.1841819
4.82e-07,0.1896559
4.83e-07,0.1952101
4.84e-07,0.2008259
4.85e-07,0.2064828
4.86e-07,0.2121826
4.87e-07,0.2180279
4.88e-07,0.2241586
4.89e-07,0.2307302
4.9e-07,0.237916
4.91e-07,0.2458706
4.92e-07,0.2546023
4.93e-07,0.264076
4.94e-07,0.274249
4.95e-07,0.285068
4.96e-07,0.2964837
4.97e-07,0.308501
4.98e-07,0.3211393
4.99e-07,0.3344175
5e-07,0.3483536
5.01e-07,0.3629601
5.02e-07,0.3782275
5.03e-07,0.3941359
5.04e-07,0.4106582
5.05e-07,0.4277595
5.06e-07,0.4453993
5.07e-07,0.4635396
5.08e-07,0.4821376
5.09e-07,0.501143
5.1e-07,0.5204972
5.11e-07,0.5401387
5.12e-07,0.5600208
5.13e-07,0.5800972
5.14e-07,0.6003172
5.15e-07,0.6206256
5.16e-07,0.6409398
5.17e-07,0.6610772
5.18e-07,0.6808134
5.19e-07,0.6999044
5.2e-07,0.718089
5.21e-07,0.7351593
5.22e-07,0.7511821
5.23e-07,0.7663143
5.24e-07,0.7807352
5.25e-07,0.7946448
5.26e-07,0.8082074
5.27e-07,0.8213817
5.28e-07,0.8340701
5.29e-07,0.8461711
5.3e-07,0.8575799
5.31e-07,0.8682408
5.32e-07,0.8783061
5.33e-07,0.8879907
5.34e-07,0.8975211
5.35e-07,0.9071347
5.36e-07,0.9169947
5.37e-07,0.9269295
5.38e-07,0.9366731
5.39e-07,0.9459482
5.4e-07,0.9544675
5.41e-07,0.9619834
5.42e-07,0.968439
5.43e-07,0.9738289
5.44e-07,0.9781519
5.45e-07,0.9814106
5.46e-07,0.9836669
5.47e-07,0.9852081
5.48e-07,0.9863813
5.49e-07,0.9875357
5.5e-07,0.9890228
5.51e-07,0.9910811
5.52e-07,0.9934913
5.53e-07,0.9959172
5.54e-07,0.9980205
5.55e-07,0.9994608
5.56e-07,0.999993
5.57e-07,0.9997557
5.58e-07,0.9989839
5.59e-07,0.9979123
5.6e-07,0.9967737
5.61e-07,0.9957356
5.62e-07,0.9947115
5.63e-07,0.9935534
5.64e-07,0.9921156
5.65e-07,0.9902549
5.66e-07,0.9878596
5.67e-07,0.9849324
5.68e-07,0.9815036
5.69e-07,0.9776035
5.7e-07,0.9732611
5.71e-07,0.9684764
5.72e-07,0.9631369
5.73e-07,0.9571062
5.74e-07,0.950254
5.75e-07,0.9424569
5.76e-07,0.9336897
5.77e-07,0.9242893
5.78e-07,0.9146707
5.79e-07,0.9052333
5.8e-07,0.8963613
5.81e-07,0.8883069
5.82e-07,0.8808462
5.83e-07,0.8736445
5.84e-07,0.8663755
5.85e-07,0.8587203
5.86e-07,0.8504295
5.87e-07,0.8415047
5.88e-07,0.8320109
5.89e-07,0.8220154
5.9e-07,0.8115868
5.91e-07,0.8007874
5.92e-07,0.7896515
5.93e-07,0.7782053
5.94e-07,0.7664733
5.95e-07,0.7544785
5.96e-07,0.7422473
5.97e-07,0.7298229
5.98e-07,0.7172525
5.99e-07,0.7045818
6e-07,0.6918553
6.01e-07,0.6791009
6.02e-07,0.6662846
6.03e-07,0.6533595
6.04e-07,0.6402807
6.05e-07,0.6270066
6.06e-07,0.6135148
6.07e-07,0.5998494
6.08e-07,0.5860682
6.09e-07,0.5722261
6.1e-07,0.5583746
6.11e-07,0.5445535
6.12e-07,0.5307673
6.13e-07,0.517013
6.14e-07,0.5032889
6.15e-07,0.489595
6.16e-07,0.4759442
6.17e-07,0.4623958
6.18e-07,0.4490154
6.19e-07,0.4358622
6.2e-07,0.4229897
6.21e-07,0.4104152
6.22e-07,0.3980356
6.23e-07,0.38573
6.24e-07,0.3733907
6.25e-07,0.3609245
6.26e-07,0.348286
6.27e-07,0.3355702
6.28e-07,0.3228963
6.29e-07,0.3103704
6.3e-07,0.2980865
6.31e-07,0.286116
6.32e-07,0.2744822
6.33e-07,0.2631953
6.34e-07,0.2522628
6.35e-07,0.2416902
6.36e-07,0.2314809
6.37e-07,0.2216378
6.38e-07,0.2121622
6.39e-07,0.2030542
6.4e-07,0.1943124
6.41e-07,0.1859227
6.42e-07,0.1778274
6.43e-07,0.1699654
6.44e-07,0.1622841
6.45e-07,0.1547397
6.46e-07,0.1473081
6.47e-07,0.1400169
6.48e-07,0.1329013
6.49e-07,0.1259913
6.5e-07,0.119312
6.51e-07,0.112882
6.52e-07,0.1067113
6.53e-07,0.1008052
6.54e-07,0.09516653
6.55e-07,0.08979594
6.56e-07,0.08469044
6.57e-07,0.07984009
6.58e-07,0.07523372
6.59e-07,0.07086061
6.6e-07,0.06671045
6.61e-07,0.0627736
6.62e-07,0.05904179
6.63e-07,0.05550703
6.64e-07,0.05216139
6.65e-07,0.04899699
6.66e-07,0.04600578
6.67e-07,0.04317885
6.68e-07,0.04050755
6.69e-07,0.03798376
6.7e-07,0.03559982
6.71e-07,0.03334856
6.72e-07,0.03122332
6.73e-07,0.0292178
6.74e-07,0.02732601
6.75e-07,0.02554223
6.76e-07,0.02386121
6.77e-07,0.02227859
6.78e-07,0.0207902
6.79e-07,0.01939185
6.8e-07,0.01807939
6.81e-07,0.01684817
6.82e-07,0.01569188
6.83e-07,0.01460446
6.84e-07,0.01358062
6.85e-07,0.01261573
6.86e-07,0.01170696
6.87e-07,0.01085608
6.88e-07,0.01006476
6.89e-07,0.009333376
6.9e-07,0.008661284
6.91e-07,0.008046048
6.92e-07,0.00748113
6.93e-07,0.006959987
6.94e-07,0.00647707
6.95e-07,0.006027677
6.96e-07,0.005608169
6.97e-07,0.005216691
6.98e-07,0.004851785
6.99e-07,0.004512008
7e-07,0.004195941
7.01e-07,0.003902057
7.02e-07,0.003628371
7.03e-07,0.003373005
7.04e-07,0.003134315
7.05e-07,0.002910864
7.06e-07,0.002701528
7.07e-07,0.002505796
7.08e-07,0.002323231
7.09e-07,0.002153333
7.1e-07,0.001995557
7.11e-07,0.001849316
7.12e-07,0.001713976
7.13e-07,0.001588899
7.14e-07,0.001473453
7.15e-07,0.001367022
7.16e-07,0.001268954
7.17e-07,0.001178421
7.18e-07,0.001094644
7.19e-07,0.001016943
7.2e-07,0.0009447269
7.21e-07,0.0008775171
7.22e-07,0.0008150438
7.23e-07,0.0007570755
7.24e-07,0.0007033755
7.25e-07,0.000653705
7.26e-07,0.0006078048
7.27e-07,0.0005653435
7.28e-07,0.0005260046
7.29e-07,0.0004895061
7.3e-07,0.000455597
7.31e-07,0.0004240548
7.32e-07,0.000394686
7.33e-07,0.0003673178
7.34e-07,0.0003417941
7.35e-07,0.0003179738
7.36e-07,0.0002957441
7.37e-07,0.0002750558
7.38e-07,0.000255864
7.39e-07,0.0002381142
7.4e-07,0.0002217445
7.41e-07,0.0002066711
7.42e-07,0.0001927474
7.43e-07,0.0001798315
7.44e-07,0.0001678023
7.45e-07,0.0001565566
7.46e-07,0.0001460168
7.47e-07,0.0001361535
7.48e-07,0.0001269451
7.49e-07,0.0001183671
7.5e-07,0.0001103928
7.51e-07,0.0001029908
7.52e-07,9.611836e-05
7.53e-07,8.973323e-05
7.54e-07,8.379694e-05
7.55e-07,7.827442e-05
7.56e-07,7.313312e-05
7.57e-07,6.834142e-05
7.58e-07,6.387035e-05
7.59e-07,5.969389e-05
7.6e-07,5.578862e-05
7.61e-07,5.213509e-05
7.62e-07,4.872179e-05
7.63e-07,4.553845e-05
7.64e-07,4.257443e-05
7.65e-07,3.981884e-05
7.66e-07,3.725877e-05
7.67e-07,3.487467e-05
7.68e-07,3.264765e-05
7.69e-07,3.05614e-05
7.7e-07,2.860175e-05
7.71e-07,2.675841e-05
7.72e-07,2.502943e-05
7.73e-07,2.341373e-05
7.74e-07,2.190914e-05
7.75e-07,2.051259e-05
7.76e-07,1.921902e-05
7.77e-07,1.801796e-05
7.78e-07,1.689899e-05
7.79e-07,1.585309e-05
7.8e-07,1.487243e-05
7.81e-07,1.395085e-05
7.82e-07,1.308528e-05
7.83e-07,1.227327e-05
7.84e-07,1.151233e-05
7.85e-07,1.080001e-05
7.86e-07,1.013364e-05
7.87e-07,9.509919e-06
7.88e-07,8.92563e-06
7.89e-07,8.377852e-06
7.9e-07,7.86392e-06
7.91e-07,7.381539e-06
7.92e-07,6.929096e-06
7.93e-07,6.505136e-06
7.94e-07,6.108221e-06
7.95e-07,5.736935e-06
7.96e-07,5.389831e-06
7.97e-07,5.065269e-06
7.98e-07,4.761667e-06
7.99e-07,4.477561e-06
8e-07,4.211597e-06
8.01e-07,3.962457e-06
8.02e-07,3.728674e-06
8.03e-07,3.508881e-06
8.04e-07,3.301868e-06
8.05e-07,3.106561e-06
8.06e-07,2.922119e-06
8.07e-07,2.748208e-06
8.08e-07,2.58456e-06
8.09e-07,2.430867e-06
8.1e-07,2.286786e-06
8.11e-07,2.151905e-06
8.12e-07,2.025656e-06
8.13e-07,1.907464e-06
8.14e-07,1.796794e-06
8.15e-07,1.693147e-06
8.16e-07,1.596032e-06
8.17e-07,1.504903e-06
8.18e-07,1.419245e-06
8.19e-07,1.3386e-06
8.2e-07,1.262556e-06
8.21e-07,1.190771e-06
8.22e-07,1.123031e-06
8.23e-07,1.059151e-06
8.24e-07,9.989507e-07
8.25e-07,9.422514e-07
8.26e-07,8.888804e-07
8.27e-07,8.38669e-07
8.28e-07,7.914539e-07
8.29e-07,7.47077e-07
8.3e-07,7.05386e-07
